WORD1 WORD2 AVG_SCORE
trail follow 4.31
mason worker 4.50
radish carrot 0.09
veal meat 5.86
keyboard arm 0.54
swing push 1.83
rhyme dinner 0.00
father ancestor 3.90
truce peace 4.80
glass cabinet 1.92
ear head 0.00
enemy crocodile 0.20
geology study 5.38
duck animal 5.92
typewriter machine 5.30
limousine migraine 0.15
competence ability 4.64
reason cause 3.46
chipmunk squirrel 1.69
lodge inn 4.15
idol person 2.57
butter cream 2.69
rise fall 0.31
deny crush 1.31
crane bird 5.30
winter season 5.83
nylon cotton 0.82
bat club 3.60
dungeon castle 1.43
technique knowledge 2.55
husband spouse 5.73
spouse mate 4.67
disguise hide 5.00
wall barrier 5.36
miner worker 5.46
soda liquid 5.90
canoe boat 6.00
talk communicate 5.55
subtraction mansion 0.00
instinct knowledge 2.86
snake animal 5.25
chain link 4.00
keyboard piano 4.25
fig food 5.00
wait hesitate 3.60
gander biology 0.58
letter symbol 5.33
attic house 0.86
note message 5.40
noun adjective 0.50
thought reflection 3.00
bar pub 4.92
ball game 3.15
authority power 5.46
auto car 1.90
finger glove 0.62
hall passage 5.10
rummy game 5.17
sickle tool 4.69
depart arrive 1.08
winner loser 0.33
human animal 5.27
robin bird 6.00
clerk worker 5.31
intelligence knowledge 2.69
rubber eraser 4.09
integrity worker 0.80
newspaper officer 0.15
innocence grape 0.18
soccer sport 5.92
pumpkin squash 3.45
washer appliance 5.64
pork meat 5.90
swan trip 0.08
dime nickel 0.43
chairperson leader 4.83
summit peak 5.75
owl bird 6.00
sunset evening 2.00
cotton polyester 1.31
repentance guilt 3.25
cent dollar 0.62
saxophone treatment 0.09
six seven 0.31
label sign 4.40
enemy friend 0.93
encyclopedia book 5.36
digger worker 4.50
strap bra 0.93
period puberty 2.90
liquid substance 5.38
lettuce food 5.83
class group 4.08
instrument piano 0.33
pause run 0.09
north direction 5.29
suppose think 5.42
jeep vehicle 5.91
fix attach 3.40
mammal dog 1.30
rabbit synagogue 0.08
person reader 2.00
integrate mix 5.50
tornado typhoon 2.85
van vehicle 5.85
gang group 5.55
vegetable spinach 0.33
science geology 0.33
iron steel 3.33
lecture class 5.08
ending end 3.30
pavement surface 5.15
legion group 4.60
alto voice 4.90
grass marrow 0.38
spade card 4.33
hawk eagle 1.00
column paper 0.77
egg milk 0.18
gravy sauce 5.73
cavity rat 0.31
hustle move 4.60
designer creator 5.40
minority toilet 0.00
kettle teapot 2.55
tragedy comedy 0.45
morning night 0.50
thesis statement 3.70
punishment reward 1.08
drift float 2.73
animal lamb 0.93
condition state 2.55
goose bird 5.54
animal duck 1.00
wood lumber 2.15
satan devil 5.38
goal chisel 0.27
stud bull 3.36
agreement disagreement 1.18
month year 1.31
insurance safety 3.33
commercial advertisement 5.23
week year 0.62
irritate spend 0.31
beer beverage 5.55
bird gander 0.64
doctor surgeon 2.43
speak scream 1.60
hour life 1.91
orange fruit 6.00
auto vehicle 1.55
protein milk 1.14
time space 1.60
mongoose animal 5.00
discover find 5.00
bunch group 4.92
divide obtain 0.83
toilet bathroom 2.50
limousine vehicle 6.00
dope pot 4.00
rectangle square 1.85
abundance scarcity 2.14
melody tune 5.42
mark sign 3.23
juice milk 0.33
dog mammal 4.55
jaw face 0.73
atlas book 4.82
man woman 0.36
twelve number 6.00
ancestor father 2.50
chain bucket 0.00
doe animal 5.62
flame pleasure 0.55
machine spice 0.27
shield armor 5.40
person people 3.80
tunnel passage 5.15
toss throw 4.92
shake sink 0.31
almanac book 5.54
cauliflower food 5.86
penguin bird 5.85
nag complain 5.31
soothe comfort 5.36
animal reptile 0.70
elimination process 4.50
lemon fruit 6.00
reptile animal 5.92
ascend rise 4.58
person idol 1.82
four number 5.69
journal notebook 3.91
mate marriage 1.62
monument memorial 5.25
character personality 2.38
policeman law 2.67
lizard animal 5.21
virtue landscape 0.08
boy man 2.27
prison jail 5.38
highway road 5.80
heart intellect 0.55
substance water 1.27
mass ceremony 4.93
mistake error 5.10
diamond crystal 3.92
puppy animal 5.30
bulletin news 4.31
maximum limit 3.82
meter unit 4.90
ruby crystal 4.50
weapon gun 2.17
food sausage 1.15
vehicle car 0.92
helmet pocket 0.40
bucket container 6.00
run jump 0.71
coffee milk 0.27
blackberry fruit 5.82
write talk 1.58
point sword 0.45
officer corporal 0.73
toss pause 0.08
goose turkey 0.46
spoon fork 0.83
robber outlaw 5.18
politics government 2.11
breast turkey 1.08
twister storm 4.54
rabbit food 3.50
vault summit 0.79
cookie food 5.93
nun monk 2.89
anteater animal 5.86
flask container 5.62
dawn sunset 0.54
wag move 4.08
bean food 5.83
drawing painting 2.00
earnestness sincerity 4.14
clerk calculus 0.64
vehicle truck 0.73
flu illness 5.80
store shop 4.00
square rectangle 3.00
mob group 5.18
dishwasher appliance 5.69
sirloin meat 5.00
ax tool 5.31
group party 1.67
cherry grape 0.62
school education 4.75
go dismiss 1.43
deny forget 1.50
silence sound 2.90
porch house 1.08
party group 4.69
stool beginning 0.10
forget deny 1.62
elbow arm 1.23
work homework 1.92
chain bond 4.25
refrigerator ball 0.10
zero number 5.82
guide book 4.64
dinner drawer 0.00
drift move 5.15
executive person 4.91
forehead face 1.54
darkness flannel 0.23
tease bother 4.42
jet plane 5.25
mousse food 5.38
vow pledge 4.92
talk address 4.00
paradise heaven 4.55
killer murderer 5.00
attach connect 5.71
bean vegetable 4.29
officer police 3.83
charm appeal 5.33
atlas encyclopedia 4.60
history study 4.58
pitcher container 5.08
sell acknowledge 0.64
pelt throw 4.67
semester hour 0.45
executive chief 5.40
citizen person 5.18
conclusion beginning 0.23
fad trend 4.80
sight sense 5.93
trunk car 0.43
father mother 0.77
digger miner 3.92
deteriorate decay 4.62
mammal cat 0.69
journal book 5.00
oak wood 5.54
drawer desk 0.62
competition calculator 1.17
homework assignment 5.20
soap cleaner 5.45
punch hit 4.85
come leave 0.92
curve road 1.46
worker mason 1.77
penny coin 5.73
oregano food 3.58
cobra snake 5.45
prince captain 0.89
geology thought 1.38
stalk stem 4.00
hammock bed 5.00
boyfriend girlfriend 0.79
tuba instrument 5.85
statement thesis 3.15
verdict judgment 5.80
fame glory 4.75
enemy opponent 5.20
spy agent 4.80
cherry fruit 5.92
hearing sight 1.00
prune fruit 5.10
section unit 3.60
trumpet instrument 5.92
snack food 4.67
ancestor parent 3.70
thesaurus book 5.46
construct make 5.00
trombone instrument 5.90
hand arm 0.09
grandma grandparent 6.00
debate talk 4.69
elm oak 1.50
bed furniture 5.85
dime penny 1.54
vest sweater 3.50
saxophone instrument 6.00
sight perception 4.85
nightmare dream 5.75
yarn thread 4.62
stool toilet 1.00
bat animal 5.71
control experiment 2.62
sapphire gem 5.92
fabric cotton 1.36
stone jewelry 2.69
cradle crib 5.00
manner style 2.54
graph chart 5.00
move tow 2.08
scream speak 3.69
glacier iceberg 3.90
conference group 4.08
person guest 1.73
elect pick 5.23
warehouse storage 4.77
science discipline 4.20
soda beverage 5.71
manufacturer creator 5.17
decay deteriorate 4.69
climber person 3.00
assume presume 3.27
cricket game 5.00
crest peak 3.58
chemistry knife 0.50
carrot food 5.89
cotton wool 2.40
knit weave 3.92
decompose decay 5.33
knitting craft 5.80
cotton fabric 5.64
pollution boat 0.20
engine train 1.75
inmate convict 5.25
goal success 4.00
barrier wall 4.64
analysis study 4.20
news information 5.46
bunny rabbit 3.91
animal container 0.30
homework instruction 1.92
venom poison 4.75
address talk 3.23
bumper car 1.42
crossing road 2.08
funeral ceremony 5.60
foresight wisdom 4.15
reach construct 0.40
dinosaur animal 4.92
calculus lettuce 0.67
water fluid 6.00
tutu skirt 4.20
bride gathering 0.33
eyebrow face 0.29
ruler emperor 2.57
trim fit 3.15
animal rat 0.00
panel board 4.62
erode tease 1.00
lily plant 5.64
bed bedroom 0.18
snake reptile 5.55
emperor ruler 5.46
company organization 5.50
site location 4.31
seal kite 0.08
car train 1.67
time era 2.82
banquet party 5.36
spinach vegetable 6.00
panther cat 5.70
quill fleet 0.38
caffeine problem 2.08
owl animal 6.00
message note 3.64
oat cereal 5.09
decay erode 4.40
mix integrate 4.77
hail rain 3.91
car limousine 1.17
curb side 3.15
sport recreation 5.60
pavement sidewalk 4.15
step stairway 3.57
easter holiday 5.85
twelve dozen 5.00
keep give 0.38
guest person 4.33
threshold door 2.00
fork fashion 0.25
freezer refrigerator 2.15
steak food 5.85
dish food 1.15
square circle 0.42
differ agree 0.77
deck ship 0.31
creator artist 2.79
finger thumb 0.64
earth matter 4.23
letter writing 2.36
priest rabbi 2.09
pail bucket 4.00
squash food 5.67
chief executive 4.18
zucchini food 5.91
lace shoe 1.08
bit portion 3.82
theft crime 5.92
cancer disease 5.92
reappear show 3.38
reflect think 4.67
appliance oven 0.80
wife woman 4.57
copper bronze 1.00
gravel stone 5.00
building skyscraper 2.38
cashier person 4.46
group staff 2.33
artist creator 5.69
senate congress 2.62
periscope submarine 1.40
rat animal 6.00
instrument trumpet 1.64
frog animal 5.92
square shape 5.50
formula equation 3.62
saucer dish 5.00
monopoly game 5.82
clarify explain 4.92
presume think 4.11
feed starve 0.50
employee worker 5.91
citizen salesman 1.15
whisper talk 5.50
book encyclopedia 1.33
barley food 5.80
prom party 5.42
uncle aunt 0.17
fox animal 5.92
mink animal 5.50
worker technician 3.10
calculus trigonometry 0.77
crib treatment 0.31
architecture structure 3.50
reach increase 2.07
vault bank 2.67
weight quantity 4.46
beard goat 0.92
rationalize argue 3.08
human mammal 5.90
bother count 0.38
organ kidney 1.17
quail animal 5.46
gander goose 3.17
pile haystack 1.36
protein meat 1.18
pitchfork tool 5.50
engagement commitment 5.33
hum whistle 1.14
weed plant 5.54
geology science 5.40
liver heart 0.33
wing bird 0.69
head pin 1.08
mechanic worker 5.73
protection helmet 1.50
game chess 1.69
problem difficulty 4.25
cat animal 6.00
organization foundation 2.54
guilt innocence 0.45
drawer dresser 2.08
winter summer 0.55
fig date 2.50
publisher person 3.62
jury court 1.80
decade era 4.71
squad group 5.00
saber sword 5.40
cactus plant 5.75
sword weapon 5.69
tornado storm 4.50
wealth poverty 0.43
sardine food 5.70
sincerity honesty 4.79
collect obtain 5.00
cone shape 5.83
servant slave 3.00
cougar cat 5.38
run control 2.91
shell husk 2.69
